tiempo,voltaje
0.000,9.400
1.000,8.200
2.000,7.400
3.000,6.400
4.000,5.800
5.000,5.000
6.000,4.600
7.000,4.200
8.000,3.800
9.000,3.200
10.000,3.000
11.000,5.400
12.000,9.800
13.000,13.200
14.000,14.800
15.000,15.600
16.000,14.800
17.000,13.200
18.000,11.600
19.000,10.400
20.000,9.200
21.000,8.000
22.000,7.200
23.000,6.600
24.000,5.600
25.000,5.200
26.000,4.800
27.000,4.000
28.000,3.800
29.000,3.200
30.000,3.000
31.000,5.800
32.000,9.800
33.000,13.200
34.000,14.800
35.000,15.800
36.000,14.800
37.000,13.000
38.000,11.600
39.000,10.000
40.000,9.400
41.000,8.400
42.000,7.600
43.000,6.600
44.000,6.000
45.000,5.000
46.000,4.800
47.000,4.200
48.000,3.600
49.000,3.400
50.000,3.000
51.000,6.200
52.000,9.800
53.000,13.200
54.000,15.000
55.000,15.600
56.000,14.800
57.000,13.000
58.000,11.600
59.000,10.200
60.000,9.600
61.000,8.200
62.000,7.400
63.000,6.600
64.000,5.600
65.000,5.200
66.000,4.600
67.000,4.200
68.000,3.800
69.000,3.400
70.000,2.800
71.000,5.600
72.000,10.200
73.000,13.600
74.000,15.200
75.000,15.800
76.000,14.800
77.000,13.200
78.000,11.800
79.000,10.400
80.000,9.000
81.000,8.400
82.000,7.400
83.000,6.600
84.000,5.800
85.000,5.000
86.000,4.400
87.000,4.000
88.000,3.800
89.000,3.200
90.000,3.200
91.000,6.000
92.000,10.000
93.000,13.200
94.000,15.000
95.000,15.800
96.000,14.800
97.000,13.000
98.000,11.400
99.000,10.400
