tiempo,voltaje
0.000,11.400
1.000,10.600
2.000,10.200
3.000,9.400
4.000,9.000
5.000,8.800
6.000,8.200
7.000,7.600
8.000,7.200
9.000,7.000
10.000,6.600
11.000,9.000
12.000,12.000
13.000,14.400
14.000,15.400
15.000,15.000
16.000,14.400
17.000,13.600
18.000,13.000
19.000,11.800
20.000,11.200
21.000,10.800
22.000,10.200
23.000,9.600
24.000,9.200
25.000,8.800
26.000,8.400
27.000,7.600
28.000,7.600
29.000,7.200
30.000,6.600
31.000,9.000
32.000,11.800
33.000,14.600
34.000,15.400
35.000,15.200
36.000,14.200
37.000,13.800
38.000,12.800
39.000,12.200
40.000,11.400
41.000,10.400
42.000,10.400
43.000,9.600
44.000,9.000
45.000,8.600
46.000,8.200
47.000,7.600
48.000,7.400
49.000,7.200
50.000,7.000
51.000,9.000
52.000,12.000
53.000,14.400
54.000,15.600
55.000,15.200
56.000,14.200
57.000,13.400
58.000,12.600
59.000,12.000
60.000,11.200
61.000,10.600
62.000,10.200
63.000,9.600
64.000,9.200
65.000,8.800
66.000,8.400
67.000,7.800
68.000,7.200
69.000,7.000
70.000,6.600
71.000,9.000
72.000,12.200
73.000,14.400
74.000,15.400
75.000,15.000
76.000,14.200
77.000,13.600
78.000,13.000
79.000,12.000
80.000,11.400
81.000,10.800
82.000,10.200
83.000,9.600
84.000,9.000
85.000,8.800
86.000,8.000
87.000,7.600
88.000,7.400
89.000,6.800
90.000,6.800
91.000,9.200
92.000,12.000
93.000,14.400
94.000,15.200
95.000,15.200
96.000,14.200
97.000,13.600
98.000,13.000
99.000,11.800
