tiempo,voltaje
0.000,14.800
0.500,14.200
1.000,13.200
1.500,12.400
2.000,12.000
2.500,11.400
3.000,10.400
3.500,10.200
4.000,9.600
4.500,8.800
5.000,8.200
5.500,7.800
6.000,8.200
6.500,9.800
7.000,11.400
7.500,12.800
8.000,13.800
8.500,14.400
9.000,15.000
9.500,15.200
10.000,14.600
10.500,14.200
11.000,13.400
11.500,12.600
12.000,12.000
12.500,11.200
13.000,10.400
13.500,9.800
14.000,9.600
14.500,8.800
15.000,8.400
15.500,7.600
16.000,8.000
16.500,9.400
17.000,11.200
17.500,12.400
18.000,13.600
18.500,14.400
19.000,15.200
19.500,15.200
20.000,14.600
20.500,14.400
21.000,13.200
21.500,12.600
22.000,12.000
22.500,11.400
23.000,10.400
23.500,9.600
24.000,9.200
24.500,8.600
25.000,8.400
25.500,7.600
26.000,8.200
26.500,9.600
27.000,11.400
27.500,12.600
28.000,13.400
28.500,14.200
29.000,15.000
29.500,15.000
30.000,14.800
30.500,14.200
31.000,13.400
31.500,12.600
32.000,12.000
32.500,11.000
33.000,10.800
33.500,10.200
34.000,9.200
34.500,8.600
35.000,8.400
35.500,8.000
36.000,8.200
36.500,9.400
37.000,11.000
37.500,12.400
38.000,13.600
38.500,14.400
39.000,15.000
39.500,15.200
40.000,15.000
40.500,14.200
41.000,13.600
41.500,12.800
42.000,12.000
42.500,11.400
43.000,10.400
43.500,10.000
44.000,9.200
44.500,8.800
45.000,8.200
45.500,7.600
46.000,7.800
46.500,9.600
47.000,11.400
47.500,12.800
48.000,13.800
48.500,14.400
49.000,15.000
49.500,15.200
